[2026-08-26 01:10:44.150707] ====================================================================================================
[2026-08-26 01:10:44.150815] Branching from: experiments/exp000_muon_and_adamw/adamw/seed_1339/rules.two_d.lr_0.003 step=1000 branch_specs=['adamw', 'muon']
[2026-08-26 01:10:44.150890] Config: TrainConfig(data_source='data/fineweb10B_v500', train_steps=12000, report_steps=200, seq_len=1024, val_size=2097152, batch_size=32768, mbs=32, vocab_size=500, num_layers=1, model_dim=192, train_data_pattern='fineweb_train_*.bin', val_data_pattern='fineweb_val_*.bin', seed=1339, model_type='gpt', expansion_ratio=4.0, head_dim=64, num_heads=3, embed_dim=None, num_tokens=None, zero_proj_init=False, lr_cooldown_frac=0.7, geon_eps=1e-10, geon_s_min=1e-05, geon_s_max=100000.0, checkpoint_steps=[0, 1, 10, 50, 100, 200, 500, 1000, 2000, 4000, 6000, 8000, 10000, 12000])
[2026-08-26 01:10:44.150961] Rules: [Rule(name='embed', patterns=['embed.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.3, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='proj', patterns=['proj.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.003125, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='one_d', patterns=['*.bias', '*.gains'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.01, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='two_d', patterns=['blocks.*.attn.*.weight', 'blocks.*.mlp.*.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.003, betas=(0.9, 0.95), nesterov=False, wd_raw=0.0002, coeff=1.0, warmup_steps=40)]
[2026-08-26 01:10:44.150997] end_step: 1000
[2026-08-26 01:10:44.151029] ====================================================================================================
[2026-08-26 01:10:44.218805]   [compile] trunk: 0.01s
[2026-08-26 01:10:44.253563] loaded checkpoint experiments/exp000_muon_and_adamw/adamw/seed_1339/rules.two_d.lr_0.003/checkpoints/step_1000.pt at step 1000
[2026-08-26 01:10:44.254045] forking at step 1000 ...
[2026-08-26 01:10:44.542405]   [branch @ step 1000] pre-fork val_loss=2.98781
[2026-08-26 01:10:44.542666]   [branch @ step 1000] 'adamw' (index=0) -> {'rules.two_d.update': 'adamw', 'rules.two_d.sizing': 'learning_rate', 'rules.two_d.lr': 0.003, 'rules.two_d.betas': [0.9, 0.95], 'rules.two_d.nesterov': False, 'rules.two_d.wd_raw': 0.0002}
[2026-08-26 01:10:44.564664]   [compile] adamw: 0.02s
[2026-08-26 01:10:44.567057]   [branch @ step 1000] 'muon' (index=1, kl_matched) -> {'rules.two_d.update': 'muon', 'rules.two_d.sizing': 'learning_rate', 'rules.two_d.lr': 0.02, 'rules.two_d.betas': [0.9, 0.95], 'rules.two_d.nesterov': False, 'rules.two_d.wd_raw': 0.0002}
[2026-08-26 01:10:44.587376]   [compile] muon: 0.02s
[2026-08-26 01:10:44.929508]     [branch @ step 1000] 'adamw' iter=0 applied train_loss=3.00880 kl=0.00475236 scale=1.0000 post_val_loss=2.98777
[2026-08-26 01:10:45.816679]     [branch @ step 1000] 'muon' iter=0 applied train_loss=3.00880 kl=0.00475427 scale=0.9006 post_val_loss=2.98763
[2026-08-26 01:10:45.830723]   [branch @ step 1000] checkpointed branches at step=1001
[2026-08-26 01:10:46.179640]     [branch @ step 1000] 'adamw' iter=1 applied train_loss=3.04312 kl=0.00209542 scale=1.0000 post_val_loss=2.98662
[2026-08-26 01:10:47.078468]     [branch @ step 1000] 'muon' iter=1 applied train_loss=3.04262 kl=0.00209675 scale=0.7640 post_val_loss=2.98702
[2026-08-26 01:10:47.438993]     [branch @ step 1000] 'adamw' iter=2 applied train_loss=2.99215 kl=0.00325168 scale=1.0000 post_val_loss=2.98402
[2026-08-26 01:10:48.326349]     [branch @ step 1000] 'muon' iter=2 applied train_loss=2.99167 kl=0.00324969 scale=0.8352 post_val_loss=2.98532
[2026-08-26 01:10:48.672981]     [branch @ step 1000] 'adamw' iter=3 applied train_loss=2.84531 kl=0.00229505 scale=1.0000 post_val_loss=2.98276
[2026-08-26 01:10:49.505080]     [branch @ step 1000] 'muon' iter=3 applied train_loss=2.84661 kl=0.00229464 scale=0.7613 post_val_loss=2.98422
[2026-08-26 01:10:49.519954]   [branch @ step 1000] checkpointed branches at step=1004
[2026-08-26 01:10:49.868912]     [branch @ step 1000] 'adamw' iter=4 applied train_loss=3.01076 kl=0.00169784 scale=1.0000 post_val_loss=2.97980
[2026-08-26 01:10:50.801448]     [branch @ step 1000] 'muon' iter=4 applied train_loss=3.01225 kl=0.00169859 scale=0.7249 post_val_loss=2.98202
[2026-08-26 01:10:51.233595]     [branch @ step 1000] 'adamw' iter=6 applied train_loss=3.01249 kl=0.0020183 scale=1.0000 post_val_loss=2.97818
[2026-08-26 01:10:52.121677]     [branch @ step 1000] 'muon' iter=6 applied train_loss=3.01488 kl=0.00201794 scale=0.7502 post_val_loss=2.98025
[2026-08-26 01:10:52.541974]     [branch @ step 1000] 'adamw' iter=8 applied train_loss=2.90183 kl=0.00226638 scale=1.0000 post_val_loss=2.97890
[2026-08-26 01:10:53.508607]     [branch @ step 1000] 'muon' iter=8 applied train_loss=2.90433 kl=0.0022664 scale=0.7454 post_val_loss=2.98140
[2026-08-26 01:10:53.933319]     [branch @ step 1000] 'adamw' iter=10 applied train_loss=3.13210 kl=0.00226852 scale=1.0000 post_val_loss=2.97556
[2026-08-26 01:10:54.780132]     [branch @ step 1000] 'muon' iter=10 applied train_loss=3.13491 kl=0.00227009 scale=0.7836 post_val_loss=2.97938
[2026-08-26 01:10:55.191825]     [branch @ step 1000] 'adamw' iter=12 applied train_loss=3.01710 kl=0.00251734 scale=1.0000 post_val_loss=2.97076
[2026-08-26 01:10:56.091994]     [branch @ step 1000] 'muon' iter=12 applied train_loss=3.02235 kl=0.00251924 scale=0.7714 post_val_loss=2.97534
[2026-08-26 01:10:56.526782]     [branch @ step 1000] 'adamw' iter=14 applied train_loss=2.96816 kl=0.00231944 scale=1.0000 post_val_loss=2.97310
[2026-08-26 01:10:57.420768]     [branch @ step 1000] 'muon' iter=14 applied train_loss=2.97372 kl=0.00232051 scale=0.7810 post_val_loss=2.97714
